image_name,predicted_score
Coryphopterus_lipernes_A_1.png,1281.2859
Coris_bulbifrons_M_1.png,1370.4725
Cheilodactylus_gibbosus_A_3.png,1559.6865
Stegastes_acapulcoensis_A_2.png,1346.4502
Halichoeres_tenuispinis_F_1.png,1432.0441
Meuschenia_freycineti_M_2.png,1628.2344
Ammodytes_tobianus_A_1.png,1285.8483
Ucla_xenogrammus_A_1.png,1311.0579
Acanthurus_nubilus_A_2.png,1541.4924
Labracoglossa_nitida_A_2.png,1422.2585
Arothron_nigropunctatus1_16.png,1381.2417
Macropharyngodon_ornatus_A_3.png,1508.3064
Dischistodus_perspicillatus_J_1.png,1499.1619
Mullus_surmuletus_A_2.png,1272.8484
Haemulon_parra_A_1.png,1234.2909
Macropharyngodon_ornatus_A_2.png,1563.1787
Plectroglyphidodon_dickii_A_2.png,1395.8772
Ctenochaetus_truncatus_A_1.png,1615.2095
Cirripectes_chelomatus_A_1.png,1468.0171
Acanthurus_nigricauda_A_1.png,1499.6924
Halichoeres_poeyi_A_2.png,1395.6248
Sebastes_chrysomelas_A_1.png,1600.8557
Paraplesiops_poweri_A_1.png,1475.4327
Epinephelus_coeruleopunctatus_A_2.png,1346.5015
Stegastes_partitus_A_2.png,1410.5833
Siganus_doliatus_A_1.png,1616.1472
Pomacentrus_imitator_A_1.png,1381.5105
Chaetodon_miliaris_A_1.png,1654.7528
Paracirrhites_nisus_A_1.png,1419.8026
Pseudojuloides_atavai_M_1.png,1509.5754
Halichoeres_garnoti_M_2.png,1577.8433
Equetus_punctatus_A_1.png,1582.7346
Hyporthodus_octofasciatus_A_1.png,1445.9436
Oxymonacanthus_longirostris_94.png,1761.1492
Neoglyphidodon_nigroris_J_1.png,1595.8076
Aphareus_furca_A_1.png,1171.9744
Gymnothorax_nubilus_A_1.png,1161.9117
Acanthurus_dussumieri_A_1.png,1582.0679
Forsterygion_flavonigrum_F_1.png,1467.399
Mycteroperca_bonaci_A_1.png,1557.8334
Ctenogobiops_crocineus_A_1.png,1342.3368
Hipposcarus_longiceps_J_1.png,1446.0437
Pomacentrus_nigromarginatus_A_2.png,1485.9683
Psammoperca_waigiensis_A_3.png,1219.3865
Ophthalmolepis_lineolata_M_2.png,1515.3416
Halichoeres_iridis_M_2.png,1488.8292
Pseudobalistes_naufragium_A_2.png,1562.114
Naso_brevirostris_J_1.png,1367.062
Chaetodon_punctatofasciatus_A_2.png,1591.6057
Anisotremus_interruptus_A_1.png,1312.6177
Parajulis_poecilepterus_A_1.png,1537.0892
Choerodon_fasciatus_M_1.png,1664.3448
Chaetodon_trifascialis_A_1.png,1655.1531
Sparisoma_rubripinne_F_3.png,1471.1453
Pseudochromis_bitaeniatus_A_3.png,1421.0847
Stegastes_redemptus_A_1.png,1385.719
Lethrinus_erythropterus_A_1.png,1406.1987
Naso_annulatus_J_1.png,1387.1943
Myoxocephalus_scorpius_A_3.png,1442.644
Halichoeres_prosopeion_J_1.png,1542.8583
Chromis_pelloura_A_1.png,1360.5104
Rachycentron_canadum_A_1.png,1339.7528
Amblyglyphidodon_orbicularis_A_1.png,1420.766
Plectroglyphidodon_phoenixensis_A_2.png,1297.869
Altrichthys_curatus_A_2.png,1471.5206
Scarus_spinus_M_1.png,1482.0273
Heniochus_pleurotaenia_A_2.png,1604.606
Epinephelus_morio_A_1.png,1439.0983
Platycephalus_speculator_A_1.png,1162.2793
Carangoides_gymnostethus_A_3.png,1225.717
Pterois_volitans_A_1.png,1816.6683
Chromis_alta_A_1.png,1270.8752
Myripristis_leiognathus_A_2.png,1438.8588
Pseudanthias_hiva_M_1.png,1449.3229
Pareques_acuminatus_J_2.png,1496.6622
Plectroglyphidodon_dickii_A_1.png,1380.8297
Paranthias_colonus_A_1.png,1371.5188
Malacoctenus_triangulatus_A_2.png,1450.1257
Plectropomus_leopardus_A_1.png,1212.9237
Parupeneus_ciliatus_A_1.png,1403.6743
Cephalopholis_boenak_A_1.png,1432.4093
Haemulon_flavolineatum_A_1.png,1580.9045
Symphodus_cinereus_A_2.png,1170.147
Aplodactylus_arctidens_A_2.png,1281.9376
Lutjanus_decussatus_A_1.png,1467.9836
Ostorhinchus_urostigmus_A_1.png,1277.4766
Anoplocapros_amygdaloides_F_1.png,1655.9933
Halichoeres_discolor_A_1.png,1467.2908
Siganus_stellatus_A_3.png,1677.619
Scorpaenodes_evides_A_1.png,1420.4927
Stegastes_gascoynei_A_3.png,1417.2852
Pictilabrus_viridis_A_3.png,1293.6552
Gymnothorax_meleagris_A_1.png,1430.8789
Cirripectes_springeri_A_1.png,1512.6206
Priacanthus_hamrur_A_2.png,1583.947
Opistognathus_darwiniensis_A_1.png,1395.3739
Halichoeres_pictus_F_1.png,1405.5167
Odontoscion_xanthops_A_1.png,1300.9845
Arothron_caeruleopunctatus_A_1.png,1450.8794
Coris_sandeyeri_M_1.png,1526.0808
Kuhlia_mugil_A_3.png,1264.1375
Trachinops_taeniatus_J_1.png,1229.9153
Serranus_tico_A_1.png,1481.886
Acanthurus_blochii_A_1.png,1681.7666
Siganus_spinus_A_2.png,1350.4937
Conniella_apterygia_A_2.png,1574.5098
Halichoeres_hortulanus_M_2.png,1529.6788
Myripristis_pralinia_A_3.png,1476.0253
Epinephelus_labriformis_A_1.png,1487.1838
Thalassoma_heiseri_M_2.png,1530.9531
Sufflamen_chrysopterum_208.png,1329.5726
Parablennius_incognitus_A_3.png,1400.5262
Heniochus_chrysostomus_A_2.png,1656.3326
Epinephelus_maculatus_A_1.png,1548.0315
Trachinotus_anak_A_2.png,1290.126
Parascorpis_typus_A_1.png,1225.1896
Sphoeroides_spengleri_A_3.png,1335.6069
Neoglyphidodon_nigroris_A_2.png,1320.7048
Diagramma_labiosum_J_2.png,1445.4692
Cheilodactylus_fuscus_A_1.png,1451.1459
Siphonognathus_beddomei_F_2.png,1351.9506
Mullus_surmuletus_J_1.png,1320.4973
Melichthys_niger_A_1.png,1553.9344
Aioliops_brachypterus_A_1.png,1524.4277
Cypho_zaps_M_1.png,1489.1179
Euthynnus_affinis_A_2.png,1137.9515
Macolor_niger_76.png,1161.6749
Nemateleotris_magnifica_A_2.png,1632.7944
Scorpaena_sumptuosa_A_1.png,1532.0328
Macropharyngodon_bipartitus_J_1.png,1523.4854
Halichoeres_discolor_J_2.png,1434.7102
Dischistodus_chrysopoecilus_A_1.png,1347.7068
Suezichthys_aylingi_F_2.png,1399.876
Trinorfolkia_clarkei_A_3.png,1276.9937
Caranx_sexfasciatus_J_1.png,1172.293
Parma_unifasciata_A_2.png,1324.5671
Notolabrus_tetricus_J_2.png,1192.485
Pomacentrus_indicus_A_2.png,1418.9144
Pomacentrus_caeruleus_A_1.png,1763.8782
Diademichthys_lineatus_A_2.png,1471.1299
Coradion_chrysozonus_A_1.png,1667.4792
